Cat;pat;meting;oef;split;begin;eind
3;9;1;4;2;342;370
3;26;2;4;1;0;72
2;26;2;4;2;91;0
3;37;1;4;1;0;97
3;37;1;4;2;125;0
3;34;1;4;1;0;186
3;34;1;4;2;230;0
3;22;2;4;1;0;79
3;22;2;4;2;95;0
3;33;1;4;1;0;105
3;33;1;4;2;120;0
3;12;2;5;1;20;0
3;20;1;5;2;0;212
3;17;1;5;2;0;85
3;18;2;5;2;90;0
3;37;2;5;1;0;75
3;37;2;5;2;95;149
3;28;1;3;1;0;100
3;28;1;3;2;166;220
3;17;1;3;1;15;163
3;17;1;3;2;175;0
3;37;1;3;1;0;102
3;37;1;3;2;127;0
3;5;1;6;2;85;0
2;14;10;4;2;340;0
2;18;10;4;1;2;73
2;18;10;4;2;87;0
2;8;10;6;1;9;110
2;8;10;6;2;123;180
2;26;10;6;1;1;105
2;26;10;6;2;110;190
2;6;10;6;1;10;80
2;6;10;6;2;0;170
2;22;10;6;1;0;40
2;22;10;6;2;40;78
2;21;10;6;1;0;130
2;31;10;6;1;8;75
2;31;10;6;2;0;140
2;29;10;6;1;0;80
2;29;10;6;2;125;205
2;24;10;6;1;0;120
2;24;10;6;2;140;215
2;14;10;6;1;0;160
2;14;10;6;2;160;320
2;34;10;6;1;20;150
2;34;10;6;2;160;290
2;21;10;10;2;75;0
2;20;10;10;1;0;14
2;20;10;10;2;190;0
3;20;2;2;1;0;80
3;20;2;2;2;100;0
3;7;2;2;1;0;120
3;7;2;2;2;180;0
3;20;1;2;1;0;100
3;20;1;2;2;135;0
3;11;2;2;1;0;102
3;39;2;2;1;0;110
3;39;2;2;2;130;0
3;28;1;2;2;185;239
3;8;1;2;2;310;0
3;11;1;2;1;0;115
3;11;1;2;2;150;0
3;16;1;2;1;0;141
3;16;1;2;2;155;0
3;8;2;2;1;0;120
3;8;2;2;2;215;0
3;21;2;2;1;0;105
3;39;2;3;2;0;135
2;28;10;2;1;0;160
2;28;10;2;2;205;0
2;20;10;2;1;0;212
2;20;10;2;2;255;0
2;18;10;2;1;0;105
2;18;10;2;2;145;0
3;31;2;4;1;0;240
3;25;1;4;1;25;180
3;30;2;5;1;0;55
3;35;1;5;1;111;0
3;29;2;5;1;50;0
1;16;10;10;1;15;110
4;23;2;18;1;0;20
4;20;1;19;1;15;42
4;12;2;19;1;0;23
4;14;1;9;1;8;0
4;12;1;19;1;0;26
4;23;1;20;1;0;16
4;20;1;21;1;5;30
4;23;1;21;1;4;19
4;24;1;22;1;4;0
2;20;10;6;1;180;280
2;36;10;11;1;10;0
2;21;20;11;1;7;0
2;26;20;11;1;8;0
2;33;20;11;1;6;0
2;8;20;11;1;25;0
2;35;10;11;1;0;42
1;4;10;2;1;0;130
1;17;10;2;1;0;150
1;14;10;2;1;0;160
1;24;10;4;1;0;133
1;30;10;4;1;0;110
1;17;10;4;1;0;140
1;26;10;4;1;0;110
1;1;10;4;1;0;80
1;27;10;4;1;0;125
1;4;10;5;1;25;145
